Bird_lib,Adenoviridae,Anelloviridae,Astroviridae,Caliciviridae,Coronaviridae,Flaviviridae,Hepadnaviridae,Orthoherpesviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Sedoreoviridae,Spinareoviridae,Tobaniviridae
140,0,0,0.960056836,0.039943164,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0.720647773,0,0,0,0,0,0,0,0,0.279352227,0,0,0,0,0
142,0.513899324,0,0,0,0,0,0,0,0,0.004507889,0,0,0.481592787,0,0,0,0
143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,0.126511628,0,0,0.459224806,0,0,0,0,0,0,0,0.414263566,0,0,0,0,0
145,0,0,0,0,0,0,0,0.85,0,0,0,0.15,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0.635574837,0,0,0.364425163,0,0
149,0,0,0,0,0,0,0,0.008982036,0,0,0,0.991017964,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0.040619146,0,0.008873114,0,0,0,0,0,0,0.89588879,0,0,0,0,0.054618949,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0.00507884,0,0,0,0,0,0,0.043760704,0,0.12543554,0,0.825724916,0,0,0,0,0
155,0.008544795,0,0,0,0,0,0,0.008285862,0,0.912739513,0,0.070429829,0,0,0,0,0
156,0,0,0,0,0,0,0,0.126162791,0,0,0,0.873837209,0,0,0,0,0
157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0.022621951,0,0,0,0.91554878,0,0,0,0,0,0,0.061829268,0,0,0,0,0
164,0,0,0.548250265,0,0.231177094,0,0,0.220572641,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0.165128543,0,0,0,0,0,0.051087673,0,0,0.783783784,0,0
166,0,0,0.028317299,0,0,0.0412053,0,0,0,0,0,0.909239426,0,0,0.021237974,0,0
167,0.047671133,0,0.539604412,0,0,0,0,0.412724455,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0.499443414,0,0.074953618,0,0,0.425602968,0,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0.203045685,0,0,0,0.796954315,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0.846227775,0,0,0,0,0,0,0,0.153772225,0,0,0,0,0
181,0.001147267,0,0.143982061,0,0,0,0,0.008239466,0.118794326,0,0,0.723508552,0,0,0.004328327,0,0
182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.010467204,0,0.113818552,0.058552298,0,0,0,0,0,0,0,0.817161946,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
193,0.838449367,0,0.000474684,0.001582278,0,0,0,0,0,0.158227848,0,0.001265823,0,0,0,0,0
194,0.144567219,0.006445672,0,0,0,0,0,0,0,0.848987109,0,0,0,0,0,0,0
